,duration,pdays,emp.var.rate,euribor3m,nr.employed
0,227.0,999.0,-0.1,4.12,5195.8
1,202.0,999.0,-0.1,4.12,5195.8
2,1148.0,999.0,-1.7,0.87,4991.6
3,120.0,999.0,1.1,4.857,5191.0
4,368.0,999.0,-2.9,1.262,5076.2
5,256.0,999.0,1.4,4.964,5228.1
6,449.0,999.0,-2.9,0.879,5076.2
7,126.0,999.0,-0.1,4.12,5195.8
8,574.0,999.0,1.1,4.864,5191.0
9,498.0,999.0,1.4,4.961,5228.1
10,158.0,999.0,1.4,4.962,5228.1
11,93.0,999.0,1.1,4.855,5191.0
12,71.0,999.0,1.4,4.963,5228.1
13,203.0,999.0,1.4,4.966,5228.1
14,369.0,999.0,-1.8,1.327,5099.1
15,954.0,999.0,-1.8,1.334,5099.1
16,105.0,999.0,1.4,4.966,5228.1
17,148.0,999.0,1.1,4.856,5191.0
18,98.0,999.0,1.1,4.857,5191.0
19,288.0,3.0,-1.8,0.652,5008.7
20,177.0,999.0,1.4,4.966,5228.1
21,155.0,999.0,-1.8,1.327,5099.1
22,141.0,999.0,1.4,4.96,5228.1
23,144.0,999.0,1.1,4.857,5191.0
24,212.0,6.0,-1.8,0.652,5008.7
25,146.0,999.0,-1.1,0.972,4963.6
26,325.0,999.0,-1.8,1.445,5099.1
27,291.0,999.0,-0.1,4.12,5195.8
28,103.0,999.0,1.4,4.963,5228.1
29,121.0,999.0,1.4,4.963,5228.1
30,236.0,999.0,1.4,4.967,5228.1
31,163.0,999.0,-1.7,0.904,4991.6
32,1166.0,999.0,-1.1,1.046,4963.6
33,134.0,999.0,-1.7,0.742,4991.6
34,89.0,999.0,1.4,4.967,5228.1
35,800.0,999.0,-1.8,1.25,5099.1
36,266.0,999.0,1.4,4.962,5228.1
37,367.0,999.0,1.1,4.857,5191.0
38,70.0,999.0,-1.8,1.405,5099.1
39,297.0,999.0,-1.8,1.405,5099.1
40,138.0,999.0,-1.8,1.313,5099.1
41,282.0,999.0,1.1,4.855,5191.0
42,774.0,999.0,-1.8,1.365,5099.1
43,60.0,999.0,1.4,4.962,5228.1
44,75.0,999.0,1.4,4.967,5228.1
45,88.0,999.0,1.4,4.96,5228.1
46,474.0,999.0,-2.9,0.851,5076.2
47,162.0,999.0,-0.1,4.153,5195.8
48,223.0,999.0,-1.8,1.466,5099.1
49,112.0,999.0,1.4,4.961,5228.1
50,232.0,999.0,1.1,4.858,5191.0
51,71.0,999.0,1.1,4.856,5191.0
52,642.0,999.0,1.4,4.968,5228.1
53,211.0,999.0,-1.8,1.313,5099.1
54,293.0,999.0,1.4,4.968,5228.1
55,230.0,999.0,-1.8,1.405,5099.1
56,182.0,999.0,1.4,4.96,5228.1
57,154.0,999.0,1.1,4.857,5191.0
58,120.0,999.0,1.4,4.961,5228.1
59,440.0,999.0,-1.8,1.281,5099.1
60,297.0,999.0,-1.7,0.754,4991.6
61,172.0,999.0,-1.8,1.41,5099.1
62,121.0,999.0,1.1,4.857,5191.0
63,616.0,999.0,1.4,4.968,5228.1
64,310.0,999.0,1.4,4.963,5228.1
65,126.0,999.0,1.4,4.966,5228.1
66,46.0,999.0,1.4,4.968,5228.1
67,197.0,999.0,1.4,4.963,5228.1
68,313.0,999.0,-3.4,0.803,5017.5
69,347.0,999.0,-0.1,4.12,5195.8
70,49.0,999.0,1.1,4.857,5191.0
71,226.0,999.0,1.1,4.864,5191.0
72,219.0,999.0,1.4,4.962,5228.1
73,8.0,999.0,-1.8,1.25,5099.1
74,173.0,999.0,1.1,4.859,5191.0
75,84.0,999.0,-0.1,4.153,5195.8
76,107.0,999.0,1.1,4.856,5191.0
77,371.0,999.0,1.1,4.857,5191.0
78,15.0,999.0,1.4,4.963,5228.1
79,115.0,999.0,1.1,4.857,5191.0
80,268.0,999.0,1.1,4.856,5191.0
81,284.0,999.0,1.4,4.957,5228.1
82,130.0,999.0,-1.8,1.299,5099.1
83,61.0,999.0,1.4,4.962,5228.1
84,611.0,999.0,1.4,4.962,5228.1
85,152.0,999.0,1.4,4.865,5228.1
86,363.0,999.0,1.1,4.856,5191.0
87,67.0,999.0,-1.8,1.25,5099.1
88,218.0,3.0,-1.7,0.893,4991.6
89,247.0,999.0,1.1,4.857,5191.0
90,33.0,999.0,-1.8,1.266,5099.1
91,73.0,999.0,1.4,4.962,5228.1
92,189.0,999.0,1.1,4.855,5191.0
93,134.0,999.0,1.4,4.962,5228.1
94,489.0,999.0,-2.9,0.873,5076.2
95,878.0,999.0,1.1,4.855,5191.0
96,154.0,999.0,-2.9,1.262,5076.2
97,18.0,999.0,-1.8,1.25,5099.1
98,50.0,999.0,1.4,4.968,5228.1
99,255.0,999.0,1.4,4.961,5228.1
100,26.0,999.0,-1.8,1.299,5099.1
101,110.0,999.0,-0.1,4.021,5195.8
102,56.0,999.0,1.1,4.86,5191.0
103,56.0,999.0,1.4,4.865,5228.1
104,75.0,999.0,-1.8,1.281,5099.1
105,153.0,999.0,1.1,4.857,5191.0
106,233.0,999.0,-3.4,0.739,5017.5
107,94.0,999.0,1.4,4.962,5228.1
108,198.0,999.0,1.4,4.963,5228.1
109,156.0,999.0,-1.8,0.635,5008.7
110,109.0,999.0,-0.1,4.021,5195.8
111,604.0,999.0,-1.8,1.266,5099.1
112,84.0,999.0,1.1,4.864,5191.0
113,483.0,999.0,1.4,4.961,5228.1
114,16.0,999.0,-0.1,4.076,5195.8
115,46.0,999.0,-1.8,1.327,5099.1
